숙소명,질문1,질문2,질문3,질문4,질문5
강릉씨티호텔,"부모님과 함께 여행을 가는데, 경포대와 강문 해변이 가까운 숙소가 있을까요?","차를 가져갈 예정인데, 무료 주차가 가능한 숙소를 추천해주실 수 있나요?",루프탑 테라스에서 전망을 즐길 수 있는 숙소가 있을까요?,시간 프런트 데스크가 운영되는 숙소가 필요해요. 추천해주실 곳이 있을까요?,"세탁 서비스가 제공되는 숙소를 찾고 있는데, 강릉에 그런 곳이 있을까요?"
웨이블루,"가족들이 스파를 즐길 수 있는 숙소를 찾고 있는데, 바다와도 가까운 곳이 있을까요?","차를 가져갈 예정이라 주차장이 있는 숙소를 선호하는데, 강릉 근처에 추천해줄 만한 곳이 있을까요?",관광지를 쉽게 갈 수 있는 위치에 있는 숙소가 필요해요. 해변과도 가까우면 좋겠어요,부모님이 고령이셔서 장애인 편의 시설이 잘 갖춰진 숙소를 찾고 있어요. 추천해 주실 수 있나요?,"평창 올림픽 플라자와 강릉을 모두 둘러볼 예정인데, 이동이 편리한 숙소가 있을까요?"
컨피네스 오션 스위트,"응급 상황에 대비할 수 있도록, 구급상자나 의무실이 준비된 숙소를 찾고 있어요. 그런 곳이 있을까요?",수영을 좋아해서 야외 수영장이나 유수풀이 있는 숙소를 추천받을 수 있을까요?,아침에 뷔페식 아침 식사를 제공하는 숙소가 있을까요? 가능한 시간도 알고 싶어요,무료 셀프 주차가 가능한 숙소를 찾고 있어요. 차를 가져갈 예정이라 주차가 중요하거든요,무료로 무선 인터넷을 제공하는 숙소가 있을까요? 업무 때문에 인터넷이 꼭 필요해요
SL호텔 강릉,"가족들과 함께 수영을 즐기고 싶은데, 인피니티 풀이 있는 숙소가 있을까요?","차로 이동할 건데, 주문진 고속버스터미널에서 가까운 숙소를 추천해 줄 수 있어?",응급 상황에 대비해 구급상자가 준비된 숙소를 찾고 있어. 그런 숙소가 있을까?,"여행 중 비즈니스 업무도 봐야 하는데, 비즈니스 코너가 마련된 숙소를 알고 싶어",주요 관광지를 차로 이동하기 좋은 위치에 있는 숙소가 있을까?
경포수 호텔,"휠체어를 사용하는 가족과 함께 여행하는데, 엘리베이터가 있는 숙소를 추천해 주실 수 있나요?",해변에서 산책을 즐기고 싶어요. 도보로 해변에 갈 수 있는 숙소가 있을까요?,강릉 시외버스터미널에서 이동하기 편리한 숙소가 있을까요? 대중교통으로 쉽게 접근할 수 있는 곳이면 좋겠어요,응급 상황을 대비할 수 있는 시설이 잘 갖춰진 숙소가 있을까요? 구급상자나 의무실이 있는 곳이면 좋겠어요,"주변 관광지를 쉽게 방문할 수 있는 숙소를 찾고 있어요. 특히, 오죽헌과 가까운 곳이 있을까요?"
브라운도트호텔 경포,주차가 용이한 숙소를 찾고 있어요. 차량을 이용해서 관광지를 다니기 편리한 곳이 있을까요?,경포 해변과 가까운 숙소 추천해줄 수 있나요? 해변까지 걸어서 갈 수 있는 곳이면 좋겠어요,강릉 시외버스터미널에서 멀지 않은 숙소를 찾고 있어요. 대중교통으로 이동하기 편리한 곳이 있을까요?,"가족 중에 고령자가 계셔서, 이동에 불편함이 없는 숙소를 찾고 있어요. 엘리베이터나 휠체어 접근이 편리한 곳이 있을까요?",주문진항과 가까운 숙소가 있을까요? 해산물 시장을 방문하기 편리한 위치였으면 좋겠어요
페리아902 오션뷰 키즈 가족 펜션,"어린 자녀들과 함께 여행할 예정인데, 놀이 공간이나 키즈 시설을 갖춘 숙소가 있을까요?",강릉 경포대 근처에서 숙박하고 싶어요. 차량으로 쉽게 이동할 수 있는 숙소가 있을까요?,"해변을 자주 방문할 계획인데, 해변과 가까운 숙소를 추천받을 수 있을까요?",가족 여행이라 주차가 편리한 숙소를 찾고 있어요. 무료 주차가 가능한 곳이 있을까요?,숙소에서 인터넷 사용이 중요해요. 무료 Wi-Fi가 제공되는 곳이 있을까요?
남문로프트,"부모님과 함께 여행을 가는데, 고령자분들도 편하게 이용할 수 있는 숙소가 있을까요?",조용하고 한적한 지역에 있는 숙소를 찾고 있어요. 강릉의 옛 시가지 근처에 괜찮은 곳이 있나요?,"가족끼리 단독으로 사용할 수 있는 숙소를 찾고 있는데, 1층과 2층이 분리된 구조의 숙소가 있을까요?",장애인도 편리하게 이용할 수 있는 강릉의 숙소가 있나요? 접근성이 좋은 곳이면 좋겠어요,"단독 건물로 되어 있는 숙소를 찾고 있는데, 남문동 같은 조용한 지역에 있는 곳이 있을까요?"
사천 스테이 195 호텔,"바다를 좋아하는 부모님과 함께 갈 예정인데, 경포해수욕장이나 사천 해수욕장 근처에 위치한 숙소가 있을까요?","가족 중에 휠체어를 사용하시는 분이 계신데, 장애인 친화적인 독채 펜션을 추천해주실 수 있나요?","모던한 인테리어를 갖춘 숙소를 찾고 있는데, 강릉의 주요 명소와도 가까운 곳이 있을까요?","깔끔한 디자인의 숙소를 선호하는데, 고령자도 편히 머물 수 있는 곳이 있을까요?","강릉 여행을 계획 중인데, 주변 관광지와 접근성이 좋고 실용적인 공간 구조를 가진 펜션을 추천받을 수 있을까요?"
강릉 스테이큐 나인,"해변까지 가까운 거리에 있는 숙소를 찾고 있는데, 특히 소돌해변이나 주문진해수욕장까지 도보로 갈 수 있는 숙소가 있을까요?",관광 명소를 쉽게 둘러보고 싶어요. 평창 올림픽 플라자나 대포항에 접근하기 좋은 숙소가 있을까요?,"부모님이 연세가 있으셔서, 고령자도 편리하게 이용할 수 있는 숙소를 찾고 있어요. 그런 곳이 있을까요?","주문진항 근처에 머물면서 해산물을 즐기고 싶은데, 접근성이 좋은 숙소가 있을까요?",향호해변까지 도보로 갈 수 있는 숙소를 찾고 있어요. 조용한 해변을 좋아해서요. 그런 숙소가 있을까요?
강릉 호텔주노,"해변 산책을 좋아하는데, 경포 해변까지 도보로 갈 수 있는 숙소가 있을까요?",자가용을 이용할 계획이라 주차가 가능한 숙소를 찾고 있어요. 무료 주차가 가능한 곳이 있을까요?,가족 중에 거동이 불편한 분이 계셔서 엘리베이터가 있는 숙소를 추천받고 싶어요,"강릉에서 해안 관광을 즐기고 싶은데, 다양한 해변에 쉽게 접근할 수 있는 숙소가 있을까요?",프런트 데스크가 운영되는 숙소를 찾고 있어요. 체크인 시간이 유동적인 곳이 있을까요?
파인아트라벨 호텔,"차량을 가져갈 예정인데, 주차가 가능한 숙소가 있을까요?","강릉항 여객터미널 근처에 위치한 숙소를 찾고 있는데, 추천해줄 수 있어?","인터넷 사용이 중요한데, 무선 인터넷이 잘 되는 곳이 있을까요?","늦은 시간에 도착할 예정이라 24시간 리셉션이 있는 숙소가 필요해, 그런 곳이 있을까?",강릉 지역을 쉽게 여행할 수 있는 교통이 편리한 숙소가 있을까요?
썬리치펜션,"강릉에서 열리는 주문진오징어축제에 방문할 예정인데, 축제 현장까지 도보로 이동할 수 있는 숙소가 있을까요?","강릉 바리스타 크루즈를 이용할 계획인데, 걸어서 20분 이내로 이동할 수 있는 숙소를 추천받을 수 있을까요?","부모님과 함께 여행을 가는데, 고령자도 편리하게 이용할 수 있는 숙소가 있을까요?","지역 축제를 즐기면서 강릉 인근 지역을 둘러보려는데, 교통이 편리한 숙소를 추천해 주실 수 있을까요?",장애인 편의 시설이 잘 갖춰진 숙소 중에 강릉에 위치한 곳이 있을까요?
호텔큐브,"차량 이동이 불편해서, 강릉 시외버스터미널과 가까운 숙소가 있을까요?",해변에서 일출을 보고 싶어요. 경포대 해수욕장 바로 앞에 위치한 숙소가 있을까요?,여행 짐이 많아서 짐 보관 서비스를 제공하는 숙소를 찾고 있어요,"부모님이 고령이셔서, 고령자도 편리하게 이용할 수 있도록 배려된 숙소가 필요해요",여행 동선이 바빠서 매일 청소 서비스를 제공하는 숙소를 원해요. 있을까요?
스테이 수안,"다리가 불편하신 부모님과 함께 여행할 예정인데, 장애인 편의 시설이 잘 갖춰진 숙소가 있을까요?","해변을 자주 가고 싶어서, 도보로 해변에 쉽게 접근할 수 있는 숙소를 찾고 있어요","고령의 가족과 함께할 예정인데, 계단이 거의 없고 엘리베이터가 있는 숙소가 있을까요?","관광지를 쉽게 방문하고 싶은데, 주요 관광지와 가까운 숙소가 있을까요?","휠체어를 사용하는 가족과 함께할 예정인데, 휠체어 접근성이 좋은 숙소가 있을까요?"
강릉 그레이 호텔,"거동이 불편한 가족과 함께 여행하는데, 엘리베이터가 있는 편리한 숙소가 있을까요?",경포대와 강문 해변에 쉽게 갈 수 있는 숙소를 찾고 있어요. 그런 곳이 있을까요?,"차로 이동할 예정인데, 무료 주차가 가능한 숙소가 있으면 추천해 주실 수 있나요?","강릉 주요 관광지를 둘러볼 계획인데, 접근성이 좋은 숙소를 추천해 주실 수 있을까요?","체크인 시간이 늦어질 수도 있는데, 24시간 프런트 데스크가 운영되는 숙소가 있을까요?"
음악시간펜션,"휠체어를 사용하는 가족이 함께 갈 예정인데, 장애인 편의 시설이 잘 갖춰진 숙소가 있을까요?",해변에서 시간을 보내고 싶어요. 도보로 해변에 갈 수 있는 가까운 숙소가 있을까요?,"수영장을 이용할 수 있는 숙소를 찾고 있는데, 추천해 주실 만한 곳이 있나요?","고령의 부모님과 여행을 계획 중인데, 공항에서 한 시간 이내로 이동 가능한 숙소가 있을까요?",무료 와이파이가 제공되는 해변 근처 숙소를 찾고 있어요. 추천해 주실 수 있나요?
강릉 휴 펜션,"부모님과 함께 여행할 예정인데, 장애인 편의 시설이 잘 갖춰진 숙소가 있을까요?",강릉 주변에서 바비큐를 즐길 수 있는 숙소가 있을까요?,주문진항과 가까운 숙소 중에 주차장이 있는 곳을 추천해 주실 수 있나요?,"경포해변과 가까운 숙소를 찾고 있는데, 무선 인터넷이 제공되는 곳이 있을까요?",친구들과 휴식을 취할 테라스가 있는 숙소를 찾고 있어요. 주문진해수욕장 근처에 있을까요?
강릉 경포대 빅토리아,부모님과 함께 여행할 계획이라 조용하고 안전한 지역에 위치한 숙소를 찾고 있어요. 추천해줄 수 있나요?,"예산을 절약하고 싶은데, 가격 대비 시설이 좋은 숙소가 있을까요?","장애인 편의 시설이 잘 갖춰져 있고, 관광 명소와 가까운 숙소를 찾고 있습니다. 어떤 곳이 좋을까요?","관광을 많이 할 예정인데, 숙소 주변에 다양한 관광 시설이 있는 곳을 추천해 주실 수 있나요?","가족 중에 연로하신 분이 계셔서, 고령자도 편리하게 이용할 수 있는 숙소가 필요해요. 어떤 곳이 좋을까요?"
강릉 오션그레이트펜션,정동진 해수욕장에서 도보로 쉽게 접근할 수 있는 숙소가 있을까요? 바다를 좋아하는 가족과 함께 갈 예정입니다,"장애인 편의 시설이 잘 갖춰진 숙소를 찾고 있는데, 강릉 근처에 그런 곳이 있을까요?",강릉역과 가까운 숙소 중에서 차량 이동이 편리한 곳을 추천받을 수 있을까요?,예술을 좋아해서 하슬라아트월드와 가까운 숙소를 찾고 있어요. 근처에 괜찮은 곳이 있을까요?,"평창 올림픽 플라자에 방문할 계획인데, 거기서 너무 멀지 않은 숙소가 있을까요?"
파라다이스모텔,"차로 이동하기 편리한 숙소를 찾고 있는데, 강릉 커피거리와 가까운 곳이 있을까요?",걸어서 해변을 갈 수 있는 숙소를 찾고 있어요. 강문해변 근처에 추천할 만한 곳이 있을까요?,"가족과 함께 머무를 예정인데, 다양한 부대시설이 갖춰진 숙소가 있을까요?",강릉시외버스터미널에서 접근성이 좋은 숙소가 있을까요? 대중교통 사용이 편리한 곳이면 좋겠어요,"인터넷 사용이 중요한데, 공용 구역에서 Wi-Fi가 제공되는 숙소가 있을까요?"
스테이올라,"휠체어를 이용하는 가족이 있어서, 장애인 편의 시설이 잘 갖춰진 숙소를 찾고 있어요. 추천해 주실 수 있나요?","직접 요리를 해먹고 싶은데, 주방 시설이 잘 마련된 숙소를 추천받을 수 있을까요?","차량을 가지고 가는데, 주차 공간이 있는 숙소가 있을까요?",인터넷이 잘 되는 곳에서 머물고 싶습니다. 무료로 인터넷을 제공하는 숙소가 있을까요?,"부모님이 연세가 있으셔서, 고령자도 편리하게 이용할 수 있는 숙소를 찾고 있어요. 추천해 주실 수 있나요?"
강릉 루소 호텔,가족 중에 거동이 불편한 분이 계셔서 엘리베이터가 있는 숙소를 찾고 있어요. 추천해 주실 곳이 있나요?,강릉 주요 관광지와 가까운 곳에서 머물고 싶어요. 특히 오죽헌과 경포해변에 쉽게 갈 수 있는 숙소가 있을까요?,대중교통을 자주 이용할 계획이라 버스터미널과 가까운 숙소를 찾고 있어요. 추천해 주실만한 곳이 있을까요?,"주문진 수산시장을 방문하고 싶은데, 차로 30분 이내에 갈 수 있는 숙소가 있을까요?","강릉 여행을 계획 중인데, 관광지 이동이 편리한 위치에 있는 숙소를 추천받고 싶어요. 어떤 곳이 좋을까요?"
강릉 돌고래스파펜션,"부모님과 함께 여행을 가는데, 장애인 시설이 잘 갖춰진 숙소가 있을까요?",바다를 보며 아침 산책을 하고 싶어요. 해변과 가까운 숙소를 추천해 줄 수 있나요?,아이들과 다양한 체험을 할 수 있는 관광지 근처 숙소가 있을까요?,"과학박물관에 가고 싶은데, 근처에 머물기 좋은 숙소가 있을까요?",해변 접근성이 좋은 숙소를 찾고 있어요. 도보 거리 내에 해변이 있는 곳이 있을까요?
강릉 그란데마레 풀빌라펜션,"이동이 불편하신 부모님과 같이 여행을 가려고 하는데, 휠체어 접근이 편리한 숙소가 있을까요?",장애인 전용 주차 공간이 있는 숙소를 찾고 있어요. 이런 시설을 갖춘 곳이 있을까요?,고령자분들이 사용하기에 편리한 욕실 시설을 갖춘 숙소가 있을까요?,"청각장애가 있는 친구와 함께 갈 예정인데, 청각장애인을 위한 보조 장치가 있는 숙소가 있을까요?",시니어를 위한 특별한 서비스를 제공하는 숙소가 있나요?
강릉 올림피아 호텔,"차로 이동할 계획인데, 무료 주차가 가능한 숙소를 추천해줄 수 있을까요?","전통시장을 구경하고 싶은데, 중앙성남전통시장과 가까운 숙소가 있을까요?","아침 식사를 제공하는 숙소를 찾고 있는데, 비용이 추가되더라도 가능한 곳이 있을까요?",흡연이 가능한 구역이 마련된 숙소가 있을까요? 흡연자들이 편리하게 이용할 수 있는 곳을 찾고 있어요,경포대 근처에 머물면서 관광하기 좋은 숙소가 있을까요? 차량으로 쉽게 접근할 수 있는 곳이면 좋겠어요
하슬라뮤지엄호텔,"여행 중에 업무를 조금 봐야 해서, 회의실이 있는 숙소를 찾고 있어요. 추천해주실 곳이 있을까요?","긴 여행 후에 피로를 풀 수 있는 거품 욕조가 있는 호텔을 찾고 있는데, 추천해주실 만한 곳이 있나요?","여행 중에 새로운 사람들을 만나고 싶어서, 내부 바가 있는 숙소를 찾고 있어요. 어디가 좋을까요?","예술 작품에 관심이 많은데, 하슬라아트월드와 가까운 숙소가 있을까요?","여행 중 인터넷 사용이 중요해서, 무료 무선 인터넷이 제공되는 숙소를 찾고 있습니다. 추천 부탁드려요"
세인트 존스 호텔,"반려견을 데리고 여행 중인데, 강릉에서 반려견과 함께 이용할 수 있는 수영장이 있는 숙소가 있을까요?","동해 전망을 즐길 수 있는 인피니티 풀이 있는 숙소를 찾고 있는데, 추천해 주실 수 있나요?","강릉 KTX 역에서 가까운 숙소를 찾고 있는데, 차로 10분 이내인 곳이 있을까요?","노래방과 같은 부대시설을 갖춘 숙소를 찾고 있는데, 강릉에 그런 곳이 있을까요?","가족들과 함께 머물 예정인데, 다양한 편의시설이 잘 갖춰진 숙소가 있을까요?"
봉모텔,"차로 이동할 예정인데, 강릉 주요 관광지까지 접근성이 좋은 숙소가 있을까요?",흡연 구역이 따로 마련된 숙소를 찾고 있어요. 추천해주실 만한 곳이 있을까요?,"무료 주차가 가능한 숙소를 찾고 있는데, 강릉 지역에 그런 곳이 있을까요?",교통이 편리한 위치에 있는 숙소가 필요해요. 경포대나 중앙성남전통시장에 접근하기 쉬운 곳이 있을까요?,장애인 친화적인 숙소를 찾고 있어요. 고령자도 편리하게 이용할 수 있는 곳이 있을까요?
루이스호텔,"휠체어를 사용하는 가족이 있어서, 엘리베이터가 있는 숙소를 찾고 있어요. 강릉역 근처에 그런 곳이 있을까요?","강릉 중앙시장을 편하게 방문할 수 있는 숙소를 찾고 있는데, 차로 10분 이내에 도착할 수 있는 곳이 있을까요?",강릉 커피거리까지 차로 15분 이내에 갈 수 있는 숙소를 추천받고 싶어요. 근처에 그런 곳이 있을까요?,접근성이 좋은 숙소를 찾고 있어요. 휠체어로 출입이 가능하고 이동이 편리한 곳이면 좋겠어요,KTX 강릉역에서 도보로 이동할 수 있는 거리에 있는 숙소를 찾고 있어요. 이동 시간이 길지 않은 곳이 있을까요?
오월의정원,"인터넷을 많이 사용해야 하는데, 무료 무선 인터넷을 제공하는 숙소가 있을까요?","강릉종합운동장에 방문할 계획인데, 차로 가까운 거리에 있는 숙소가 있나요?","고령자분과 여행할 예정인데, 고령자도 편리하게 이용할 수 있도록 배려된 숙소가 있을까요?","양양 국제공항과 가까운 숙소를 찾고 있는데, 공항에서 90분 이내로 이동할 수 있는 곳이 있을까요?","장애가 있는 가족과 함께 머무를 수 있는, 장애인 편의 시설이 잘 갖춰진 숙소가 있을까요?"
카리브모텔,"가족 중에 고령자가 있어서, 장애인 친화적인 숙소를 찾고 있어. 정동진 근처에 그런 곳이 있을까?",정동진역에서 걸어서 갈 수 있는 숙소를 찾고 있어. 주요 관광지도 가까우면 좋겠어,"정동진 해돋이를 보러 가는데, 해돋이 공원과 가까운 숙소가 있을까?","정동진 레일바이크를 타고 싶은데, 근처에 머물기 좋은 숙소가 있을까?",정동진 시간박물관과 정동진조각공원에 가려고 해. 두 곳 모두 접근성이 좋은 숙소가 있을까?
강릉 퀴스테 스파펜션,"부모님이 운전을 하셔서 주차가 편리한 숙소를 찾고 있는데, 무료 셀프 주차가 가능한 곳이 있을까요?",해변까지 걸어서 갈 수 있는 숙소를 찾고 있어요. 특히 강문 해변까지 가까운 곳이 있을까요?,"장애인 편의시설이 잘 갖춰진 숙소를 찾고 있는데, 그런 곳이 있을까요?","해안 관광을 즐기려고 하는데, 경포대와 가까운 숙소가 있을까요?","흡연 구역이 마련된 숙소를 찾고 있는데, 그런 곳이 있을까요?"
델피노,설악산과 바다 전망을 모두 즐길 수 있는 숙소가 있을까요?,"가족 여행을 계획 중인데, 키즈 파크나 워터파크 같은 시설이 있는 숙소가 있을까요?",응급 상황에 대비할 수 있는 구급상자나 의무실이 있는 숙소를 찾고 있어요. 그런 곳이 있을까요?,"속초에 머물 예정인데, 주변 관광지 접근성이 좋은 숙소가 있을까요?",온천수를 사용하는 인피니티 풀이 있는 숙소를 추천받을 수 있을까요?
파랑뷰 호텔,"휠체어를 이용하시는 가족이 함께 가는데, 출입구에 계단이 없는 숙소를 찾고 있어요","응급 상황에 대비해 구급상자나 의무실이 마련된 숙소를 찾고 있는데, 그런 곳이 있을까요?",장애인 편의 시설이 잘 갖춰진 숙소가 필요해요. 혹시 그런 곳 추천해 주실 수 있나요?,"가족 중에 거동이 불편한 분이 계신데, 휠체어로 출입 가능한 숙소가 있을까요?","안전을 중요시해서, 응급 시 사용할 수 있는 시설이 준비된 숙소를 찾고 있습니다. 그런 곳이 있을까요?"
일성설악콘도,저희 할머니가 무릎이 안 좋으셔서 엘리베이터가 있는 숙소를 찾고 있어요. 혹시 추천해 주실 수 있나요?,"속초 주요 관광지와 가까운 숙소를 찾고 있는데, 이동하기 편한 곳이 있을까요?",속초시외버스터미널에서 접근하기 좋은 숙소가 있으면 추천 부탁드려요,"청초호와 가까운 숙소를 찾고 있는데, 이동이 편리한 곳이 있을까요?","가족과 함께 속초해수욕장을 방문하려고 하는데, 엘리베이터가 있는 숙소 중에서 추천해 주실 곳이 있을까요?"
㈜포유리조트,"속초해수욕장을 자주 방문할 예정인데, 해변과 가까운 숙소 중에서 추천해줄 수 있나요?","출장 중에 회의실을 자주 사용할 예정인데, 회의실이 잘 갖춰진 숙소가 있을까요?",속초중앙시장을 자주 가고 싶어요. 시장 근처에 괜찮은 숙소가 있을까요?,양양 국제공항에서 이동하기 편리한 숙소가 있을까요? 공항에서 멀지 않은 곳이면 좋겠어요,"인터넷 사용이 중요한데, 무료로 무선 인터넷을 제공하는 숙소가 있나요?"
